time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20190113:1130,225.15,223.09,72.98,2.07,11.34,23.36,3.45,0.0
20190113:1230,0.0,0.0,0.0,0.0,-0.53,22.08,3.17,0.0
20190113:1330,0.0,0.0,0.0,0.0,0.0,19.63,3.31,0.0
20190113:1430,0.0,0.0,0.0,0.0,0.0,18.21,3.66,0.0
20190113:1530,0.0,0.0,0.0,0.0,0.0,17.22,4.0,0.0
20190113:1630,0.0,0.0,0.0,0.0,0.0,16.52,4.34,0.0
20190113:1730,0.0,0.0,0.0,0.0,0.0,15.77,4.34,0.0
20190113:1830,0.0,0.0,0.0,0.0,0.0,15.06,4.21,0.0
20190113:1930,0.0,0.0,0.0,0.0,0.0,14.75,4.34,0.0
20190113:2030,0.0,0.0,0.0,0.0,0.0,14.15,4.0,0.0
20190113:2130,0.0,0.0,0.0,0.0,0.0,13.46,3.72,0.0
20190113:2230,0.0,0.0,0.0,0.0,0.0,12.81,3.38,0.0
20190113:2330,0.0,0.0,0.0,0.0,0.0,12.18,3.17,0.0
20190114:0030,0.0,0.0,0.0,0.0,0.0,11.59,3.03,0.0
20190114:0130,0.0,0.0,0.0,0.0,0.0,11.08,2.97,0.0
20190114:0230,132.37,134.97,45.75,0.99,6.19,10.56,2.83,0.0
20190114:0330,376.12,355.1,95.24,3.58,17.58,11.52,2.69,0.0
20190114:0430,578.91,578.98,117.41,6.16,27.67,14.04,3.24,0.0
20190114:0530,711.06,748.7,129.85,8.17,35.72,16.61,3.31,0.0
20190114:0630,777.61,848.33,135.63,9.34,40.73,18.71,3.17,0.0
20190114:0730,785.3,871.37,136.29,9.6,41.71,19.98,2.83,0.0
20190114:0830,737.87,815.43,131.7,8.91,38.45,21.01,2.62,0.0
20190114:0930,637.11,683.27,122.06,7.31,31.65,21.6,2.83,0.0
20190114:1030,474.76,485.78,105.77,4.97,22.37,21.72,3.24,0.0
20190114:1130,248.67,247.03,74.88,2.23,11.5,21.18,3.59,0.0
20190114:1230,0.0,0.0,0.0,0.0,-0.37,19.73,2.9,0.0
20190114:1330,0.0,0.0,0.0,0.0,0.0,16.93,2.9,0.0
20190114:1430,0.0,0.0,0.0,0.0,0.0,15.14,2.9,0.0
20190114:1530,0.0,0.0,0.0,0.0,0.0,13.84,2.83,0.0
20190114:1630,0.0,0.0,0.0,0.0,0.0,12.75,2.76,0.0
20190114:1730,0.0,0.0,0.0,0.0,0.0,11.77,2.62,0.0
20190114:1830,0.0,0.0,0.0,0.0,0.0,10.87,2.48,0.0
20190114:1930,0.0,0.0,0.0,0.0,0.0,10.08,2.34,0.0
20190114:2030,0.0,0.0,0.0,0.0,0.0,9.29,2.14,0.0
20190114:2130,0.0,0.0,0.0,0.0,0.0,8.43,2.07,0.0
20190114:2230,0.0,0.0,0.0,0.0,0.0,7.67,2.07,0.0
20190114:2330,0.0,0.0,0.0,0.0,0.0,7.17,2.0,0.0
20190115:0030,0.0,0.0,0.0,0.0,0.0,6.66,1.79,0.0
20190115:0130,0.0,0.0,0.0,0.0,0.0,6.7,1.38,0.0
20190115:0230,127.1,121.87,50.03,0.99,6.22,7.05,1.17,0.0
20190115:0330,358.68,318.58,112.25,3.52,17.63,9.02,0.76,0.0
20190115:0430,547.66,535.55,138.51,6.05,27.75,13.3,0.83,0.0
20190115:0530,664.02,706.07,142.91,7.95,35.84,16.79,0.83,0.0
20190115:0630,739.65,852.03,132.34,9.37,40.88,19.24,0.55,0.0
20190115:0730,742.58,870.61,133.47,9.59,41.9,20.94,0.41,0.0
20190115:0830,701.97,810.19,129.7,8.86,38.65,22.27,0.62,0.0
20190115:0930,612.52,675.63,120.56,7.25,31.84,23.07,1.24,0.0
20190115:1030,457.35,478.53,104.34,4.92,22.56,23.29,1.52,0.0
20190115:1130,239.74,242.37,73.53,2.22,11.68,22.92,1.59,0.0
20190115:1230,0.0,0.0,0.0,0.0,-0.21,21.83,1.72,0.0
20190115:1330,0.0,0.0,0.0,0.0,0.0,19.45,2.62,0.0
20190115:1430,0.0,0.0,0.0,0.0,0.0,16.96,2.62,0.0
